step,train_loss,val_loss
200,2.5445,2.5527
400,2.3245,2.3409
600,2.1608,2.1875
800,2.0008,2.0591
1000,1.8942,1.9993
1200,1.8282,1.9308
1400,1.7574,1.8978
1600,1.7109,1.8624
1800,1.6865,1.8333
2000,1.6313,1.8180
2200,1.6162,1.7920
2400,1.5784,1.7759
2600,1.5750,1.7574
2800,1.5476,1.7381
3000,1.5317,1.7135
